Submission ID,Respondent ID,Submitted at,Selecione a turma que você está estudando.,Qual curso você deseja avaliar?,Selecione o(a) professor(a) responsável pelo curso:,Data de Início do Curso,Data de Término do Curso,1. MINHA PRESENÇA E PARTICIPAÇÃO NO CURSO,2. MINHA POSTURA ACADÊMICA PERANTE A TURMA,3. USO DE APARELHOS ELETRÔNICOS,4. MEU NÍVEL DE APRENDIZADO E AUTODESENVOLVIMENTO,5. Escreva seu autofeedback sobre sua participação. (OPCIONAL),1. ORGANIZAÇÃO / PLANEJAMENTO DO CURSO,2. RELACIONAMENTO COM A TURMA,3. DOMÍNIO DO ASSUNTO - CONHECIMENTO,4. APLICABILIDADE DOS CONTEÚDOS ABORDADOS EM SALA,5. DIDÁTICA E COMUNICAÇÃO,6. PONTUALIDADE DO PROFESSOR,7. Escreva seu feedback sobre o(a) professor(a). (OPCIONAL),1. A metodologia de ensino utilizada no curso estimulou a minha participação ativa e colaborativa nas atividades.,2. A metodologia de ensino utilizada no curso facilitou a aplicação prática dos conhecimentos adquiridos em contextos reais ou simulados.,3. Escreva seu feedback sobre a metodologia de ensino. (OPCIONAL),1. EQUIPE DE APOIO,2. ESTRUTURA DA SALA DE AULA,3. CONFORTO E CLIMATIZAÇÃO DO AMBIENTE,1. Qual foi o seu nível de aproveitamento no curso?,"2. Em uma escala de 0 a 10, qual é a probabilidade de você recomendar este curso para um colega, amigo ou familiar?","3. Em uma escala de 0 a 10, qual é a probabilidade de você recomendar o Instituto Valente para um colega, amigo ou familiar?",4. Como podemos melhorar? (OPCIONAL),"Caso queira receber um retorno sobre sua pesquisa de satisfação, por favor, informe seu e-mail abaixo. (OPCIONAL)"
gDZ0XWJ,qy6Ar5,2025-08-02 20:17:36,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,"Temos uma visão diferente, que nos faz pensar e refletir de outra maneira",10,10,10,10,10,10,"Demonstra muito conhecimento no assunto com exemplos reais, o que facilita a compreensão",10,10,Apresentou ferramentas atuais e facilitadoras para o dia a dia,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
jaWy15R,jKd05x,2025-08-02 20:17:36,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
EkDXpeo,pg2OjZ,2025-08-02 20:18:22,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,8,8,2,7,Participei com perguntas quando necessário,10,9,10,10,10,10,Domina bem o assunto e sabe repassar as informações de forma simples e fácil entendimento,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
7RvWyx6,Y2Eop5,2025-08-02 20:18:35,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,9,10,9,9,"Vim para o treinamento com um pensamento totalmente diferente, fiquei muito feliz com tudo que foi falado e apresentado. Me surpreendeu muito.",10,10,10,10,10,,,,,,,,,,,,,
kdWYd9r,ORpjd8,2025-08-02 20:20:15,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,8,10,8,8,,9,9,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
BzDXOGY,GMWR82,2025-08-02 20:23:23,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,9,9,8,10,,10,9,10,10,9,10,,10,10,,10,10,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
aQE6R0X,eb1NKO,2025-08-02 20:23:28,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,2,7,"“O curso em dois dias seguidos acaba sendo muito cansativo, e isso compromete um pouco nosso poder de aprendizado. Acredito que seria mais eficaz se os dois dias fossem distribuídos em semanas diferentes.”",10,10,10,10,10,10,,10,10,,10,10,8,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
44v21zB,8OLOAP,2025-08-02 20:24:27,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
EkDPbgl,ORpjb8,2025-08-02 20:24:51,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
pbWLe5Z,5N6led,2025-08-02 20:26:16,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,9,10,8,,9,9,9,9,8,10,,10,10,,10,10,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,9,,
pbWLe21,220Y0p,2025-08-02 20:26:49,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,9,9,,10,9,10,9,9,10,,10,9,,9,10,10,100% – Estive presente e focado durante todo o curso.,9,9,,
5Bvd80M,PK1Lo0,2025-08-02 20:27:01,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,10,10,"Este curso nos prende a atenção e foi excepcional, irei indicar na vida",10,10,10,10,10,10,"Professor excepcional é muito didático, nos prende",10,10,Maravilhoso,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,"Continuar a ser tão leve assim , maravilhoso",
dWjYRvr,BNxaLN,2025-08-02 20:27:30,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,9,9,,,,,,,,,,,,,,,,,,,
EkDPakB,ROXZvd,2025-08-02 20:27:51,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,9,9,,10,10,10,9,10,10,,10,10,,10,10,9,100% – Estive presente e focado durante todo o curso.,10,10,,
b5rl4xg,PoM2vb,2025-08-02 20:35:00,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,9,10,9,9,Me fez abrir os olhos para vários comportamentos que eu tenho e que preciso trabalhar. É interessante que durante o curso desde do primeiro dia sempre me mantive ativa.,10,10,10,10,10,10,"Curso maravilhoso.
 Professor despertou a atenção da turma durando todo o curso, impressionante o qual ele conduziu bem.
 É perceptível a entrega do Carlos no curso.",10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,Indico sem sombras de dúvidas.,monica.alves@secovicred.com.br
BzD1xE1,XjZaxY,2025-08-02 20:35:04,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,10,10,9,10,,,,,,,,,,,,,,,,,,,
vGL2rjg,xGk0Ro,2025-08-02 20:50:07,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,9,9,10,9,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
KYJkX7X,Y2Eoxd,2025-08-05 18:06:37,TURMA-001 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-08-01,2025-08-02,8,8,8,8,"Fui participativa, busquei me envolver nas atividades propostas e aproveitei a oportunidade para aprender e evoluir. Reconheço pontos a melhorar, mas saio mais preparada e motivada.",9,9,9,9,9,9,"Professor demonstrou domínio do conteúdo, conduziu as atividades com clareza e motivação, e soube incentivar a participação de todos. A didática contribuiu muito para meu aprendizado.",9,9,"A metodologia de ensino foi dinâmica e prática, o que facilitou a compreensão e a aplicação dos conteúdos. As atividades em grupo e os exemplos reais contribuíram para o aprendizado. Como sugestão de melhoria, incluir mais momentos para troca de experiências entre os participantes pode enriquecer ainda mais o processo.",9,9,9,100% – Estive presente e focado durante todo o curso.,9,9,,
lbYaWAN,vGjY8OX,2025-09-13 19:50:51,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,7,8,6,8,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
kdJbWWR,KYQ12Ak,2025-09-13 19:51:00,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,8,8,8,8,,8,8,8,8,8,8,,8,8,,8,8,8,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",8,8,,
Me61Y10,jaDP489,2025-09-13 19:51:02,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,9,8,10,,10,10,10,10,10,10,,10,10,,10,10,8,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
5BeXvkZ,rjylGJ5,2025-09-13 19:51:07,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,7,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
jaJeWx4,eqZROyO,2025-09-13 19:51:23,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,5,7,8,10,,10,10,10,10,10,10,,10,10,,10,10,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
D4xqDeZ,RGKPy9d,2025-09-13 19:51:34,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,9,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
jaJeWMJ,aQNdqLq,2025-09-13 19:51:37,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,8,10,,10,10,10,10,10,10,,10,10,,10,10,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
NpbqYAO,KYQ1K28,2025-09-13 19:51:51,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,,,,,,,,,,,,,,,,,,,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",,,,
gDJbZ44,dWqdGrr,2025-09-13 19:51:55,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,9,9,,10,10,10,10,10,10,"Show! Domina assunto, fala pausado, trouxe novidades. Não foi o mais do mesmo!",10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,Internet lenta.,
1ANWvvp,2E8PGGj,2025-09-13 19:52:14,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,9,10,9,9,,10,10,10,9,10,10,,10,9,,10,10,10,100% – Estive presente e focado durante todo o curso.,9,9,Internet melhor,
yPoXv0B,dWqdeJo,2025-09-13 19:52:17,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,10,10,Wifi nao estava funcional,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
EkZqDD4,jaDPA8a,2025-09-13 19:52:20,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,9,8,8,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,
9qRNv1V,Np5o2VW,2025-09-13 19:52:28,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,8,9,7,9,,9,9,10,8,9,10,,8,10,,10,10,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,9,,
Me61YRl,A7Pvee0,2025-09-13 19:52:40,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,8,8,9,7,,9,9,9,9,9,10,,10,10,,10,6,9,100% – Estive presente e focado durante todo o curso.,10,10,O sinal da Internet estava ruim.,
J9e1L7d,jaDPAVx,2025-09-13 19:52:45,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,8,7,9,9,,10,10,10,9,10,10,"Bem didático, o curso foi satisfatório e não ficou cansativo",10,10,,9,9,8,100% – Estive presente e focado durante todo o curso.,10,10,,
PdbRY6B,MeKRpxp,2025-09-13 19:52:50,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,9,9,9,,10,10,10,9,9,10,,10,10,,9,9,8,100% – Estive presente e focado durante todo o curso.,9,10,,
jaJeLNE,OD1GMvK,2025-09-13 19:52:52,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,9,10,,10,10,10,10,10,10,,10,10,,10,7,10,100% – Estive presente e focado durante todo o curso.,10,10,O microfone falhou,
2EljvDp,PdjAbWP,2025-09-13 19:52:53,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,8,9,,10,10,10,10,10,10,,10,10,,10,10,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
pbJeW7J,68JdW4O,2025-09-13 19:52:54,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,9,9,8,9,Creio que saio daqui com outra mentalidade e que poderei aplicar na prática do PA,10,10,10,10,10,10,"Excelente palestrante, consegue manter a atenção de toda a turma com assuntos relavantes",10,10,,10,8,10,100% – Estive presente e focado durante todo o curso.,10,10,,
b5YZrrL,KYQMv8k,2025-09-13 19:53:13,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,8,8,9,8,,9,10,9,9,10,10,,10,10,,9,10,10,100% – Estive presente e focado durante todo o curso.,8,8,,
VLbpYYg,yPZY8xW,2025-09-13 19:53:14,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,9,9,10,8,,9,10,10,9,9,10,O professor demonstrou conhecimento nos assuntos abordados.,9,9,,9,6,8,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
9qRNv6p,lbDNKKp,2025-09-13 19:53:20,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,8,8,10,"Um excelente curso, muito dinâmico.",10,10,10,10,10,10,Muito bom! Ótima metodologia,10,9,,10,10,9,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,,
NpbqYJl,rjyP9QL,2025-09-13 19:53:42,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,9,9,,10,10,10,10,10,10,"Achei excelente, pode me convidar sempre pra participar dos cursos do Carlos Maciel! Demonstrou muito conhecimento e aplicou ferramentas e processos super válidos! Vai ajudar muito nosso dia a dia. Espero aprender mais sobre IA e melhorar minha performance com o uso da IA",10,10,,10,9,10,100% – Estive presente e focado durante todo o curso.,10,10,,
b5YZrLZ,kdaEBzZ,2025-09-13 19:54:05,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,9,9,9,9,"Estive comprometido com os horários, porém devido a carga horaria em alguns momentos me dispersava.",9,8,8,9,9,10,,9,9,,10,9,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",8,9,,
BzjED27,5BKxPP6,2025-09-13 19:54:20,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,9,10,,10,10,10,10,9,10,,10,8,,10,9,10,100% – Estive presente e focado durante todo o curso.,10,10,Internet Wi-Fi,
BzjEDBK,PdjOZW5,2025-09-13 19:55:14,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,8,10,8,10,,10,10,10,10,10,10,,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,O sinal da Internet muito lento para participar do quiz,
GxqeDYp,Bz47Ra4,2025-09-13 19:55:57,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,9,9,9,Acredito que me dediquei bastante buscando conhecimento para trazer soluções para o meu dia dia,10,10,10,10,10,10,Excelente curte didática,10,10,Excelente,10,10,10,"75% – Estive presente e focado na maior parte do tempo, mas tive algumas distrações.",10,10,"Excelente, está no caminho certo",
zxGEJzM,MeKRpjM,2025-09-13 19:59:26,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,9,9,Sinto que participei de forma engajada e contribui com minhas ideias.,10,10,10,10,10,10,"O professor conduziu a imersão de forma clara e envolvente, compartilhando conhecimentos valiosos e criando um ambiente que estimulou nossa participação e aprendizado.",10,10,"A metodologia foi prática e envolvente, permitindo aplicar os conceitos na prática e facilitar a compreensão de forma dinâmica e eficiente.",10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,"Melhor a conexão da internet. Muito ruim na hora de responder os quis travava, inclusive o professor teve problemas também.",
J9e1DLR,VLEJORE,2025-09-13 19:59:34,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,8,10,8,8,Acredito que poderia participar mais,10,10,10,10,10,10,Ótimo conteúdo,10,10,,10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,A Internet no local estava muito fraca,
WOKJYDa,pbxOpqJ,2025-09-13 20:00:27,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,10,10,"Percebi que posso melhorar enquanto pessoa e profissional, melhor a escuta ativa, e entender qual realmente é a dor do cooperado.",10,10,10,10,10,10,"Muito comunicativo, espontâneo, fala com muita clareza sobre o assunto e nos faz entender que não é apenas vender mas sim se conectar com o cooperado.",10,10,"Excelente apresentação, slides, vídeos e sugestões que realmente vão nos fazer evoluir pessoalmente e principalmente profissionalmente.",10,10,10,100% – Estive presente e focado durante todo o curso.,10,10,Somente a internet que falhou por várias vezes,
Xx85MBL,q4ZV11Y,2025-09-13 20:03:17,TURMA-002 – Sicoob Secovicred,"1) Vendas, Valor & Influência | 16 horas",Carlos Maciel,2025-09-12,2025-09-13,10,10,10,10,Identifiquei meus pontos negativos para eu alcançar melhorarias pessoais e profissionais,10,10,10,10,10,10,Muito preparado e sabe muito bem conduzir o treinamento sem deixar a turma se cansar e entediar,10,10,Muito assertiva,9,10,10,100% – Estive presente e focado durante todo o curso.,10,10,,leilianevaladares@hotmail.com
